"Alumno","Indicador 22"
"181.0906.010","2.36"
"181.3503.039","3.37"
"181.1606.037","3.6"
"191.0206.014","2.16"
"171.0105.005","3.24"
"112.0904.362","2.06"
"181.1306.052","3.38"
"211.0306.007","1.98"
"171.0306.062","2.59"
"161.0103.779","2.78"
"191.0706.032","3.01"
"161.1203.641","2.71"
"151.2403.460","2.3"
"211.1505.034","1.65"
"171.2806.015","2.54"
"211.3503.047","1.82"
"201.0606.005","2.07"
"181.0606.038","2.63"
"171.1405.024","3.07"
"171.1205.031","2.72"
"171.2503.059","3.3"
"151.0304.496","3.02"
"181.3402.030","3.24"
"171.0306.001","2.69"
"181.1306.040","3.52"
"091.1604.444","2.33"
"161.2502.610","0.53"
"211.0405.043","0"
"211.0906.014","1.44"
"191.0906.074","2.61"
"181.1906.006","3.74"
"211.2904.042","1.74"
"151.0605.703","2.46"
"171.0706.113","2.79"
"161.0704.560","2.78"
"211.0804.044","1.32"
"201.1205.032","2.48"
"191.1505.063","2.48"
"201.3602.039","2.21"
"171.0804.091","2.74"
"211.0906.007","1.4"
